id,host_neighbourhood,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type
50290656,,13,Brigittenau,,48.22808,16.37067,Entire condominium (condo),Entire home/apt
50294156,Neubau,4,D∂?bling,,48.24552,16.33379,Entire condominium (condo),Entire home/apt
50294457,,1,Landstra∂ıe,,48.19146,16.3862,Entire rental unit,Entire home/apt
50295850,Favoriten,35,Rudolfsheim-F∂?nfhaus,,48.19875,16.32774,Entire rental unit,Entire home/apt
50297971,Meidling,3,Favoriten,,48.17472,16.35453,Entire serviced apartment,Entire home/apt
50306740,Alsergrund,2,Alsergrund,,48.22948,16.35683,Entire rental unit,Entire home/apt
50307470,,0,Rudolfsheim-F∂?nfhaus,,48.19791,16.31461,Entire condominium (condo),Entire home/apt
50309080,Neubau,1,Neubau,,48.20028,16.3518,Entire rental unit,Entire home/apt
50316052,Innere Stadt,22,Alsergrund,,48.22321,16.3657,Entire rental unit,Entire home/apt
50316214,Rudolfsheim-F«¨nfhaus,4,Rudolfsheim-F∂?nfhaus,,48.18616,16.33348,Entire serviced apartment,Entire home/apt
50316605,,0,Brigittenau,,48.22928,16.3649,Entire condominium (condo),Entire home/apt
50327990,Penzing,31,Penzing,,48.19477,16.30153,Entire condominium (condo),Entire home/apt
50333421,,13,Brigittenau,,48.22648,16.37008,Entire condominium (condo),Entire home/apt
50334972,,0,Mariahilf,,48.18966,16.34449,Entire rental unit,Entire home/apt
50335020,,4,Landstra∂ıe,,48.21296,16.38981,Entire serviced apartment,Entire home/apt
50335489,,2,Leopoldstadt,,48.21756,16.37676,Entire condominium (condo),Entire home/apt
50336229,Neubau,4,D∂?bling,,48.24743,16.3345,Entire condominium (condo),Entire home/apt
50337154,Neubau,4,D∂?bling,,48.24622,16.33454,Entire condominium (condo),Entire home/apt
50337170,Favoriten,37,Meidling,,48.18453,16.33562,Entire rental unit,Entire home/apt
50337784,,4,Landstra∂ıe,,48.21308,16.38869,Entire serviced apartment,Entire home/apt
50339083,,4,Landstra∂ıe,,48.2115,16.38802,Entire serviced apartment,Entire home/apt
50346187,,0,Neubau,,48.19954,16.34181,Entire rental unit,Entire home/apt
50359262,Josefstadt,3,Josefstadt,,48.20899,16.34847,Entire serviced apartment,Entire home/apt
50362100,Innere Stadt,8,Leopoldstadt,,48.21978,16.40427,Room in boutique hotel,Private room
